sample,ftc,Breadth3d (mm),,Bin,Frequency,,,sample,ftc,Breadth3d (mm),,Bin,Frequency,
,,,,,,,,28-38-28,post,0.0328361,,,,
,,,,,,,,28-38-28,post,0.0249025,,,,
,,,,,,,,28-38-28,post,0.128563,,,,
,,,,,,,,28-38-28,post,0.0575379,,,,
,,,,,,,,28-38-28,post,0.0385827,,,,
,,,,,,,,28-38-28,post,0.0475956,,,,
,,,,,,,,28-38-28,post,0.0442563,,,,
,,,,,,,,28-38-28,post,0.0331637,,,,
,,,,,,,,28-38-28,post,0.0857897,,,,
,,,,,,,,28-38-28,post,0.0242662,,,,
,,,,,,,,28-38-28,post,0.450598,,,,
,,,,,,,,28-38-28,post,0.0363535,,,,
,,,,,,,,28-38-28,post,0.0271936,,,,
,,,,,,,,28-38-28,post,0.0439486,,,,
,,,,,,,,28-38-28,post,0.0808349,,,,
,,,,,,,,28-38-28,post,0.484173,,,,
,,,,,,,,28-38-28,post,0.036564,,,,
,,,,,,,,28-38-28,post,0.0542532,,,,
,,,,,,,,28-38-28,post,0.199686,,,,
,,,,,,,,28-38-28,post,0.0775139,,,,
,,,,,,,,28-38-28,post,0.0328081,,,,
,,,,,,,,28-38-28,post,0.0276518,,,,
,,,,,,,,28-38-28,post,0.0739049,,,,
,,,,,,,,28-38-28,post,0.0761097,,,,
,,,,,,,,28-38-28,post,0.0461725,,,,
,,,,,,,,28-38-28,post,0.117666,,,,
,,,,,,,,28-38-28,post,0.107454,,,,
,,,,,,,,28-38-28,post,0.0229076,,,,
,,,,,,,,28-38-28,post,0.0680387,,,,
