sample,ftc,volume_mm3,breadth_mm3,surface_calc_area_mm3,surface_calc_vol_mm3,shape_factor
40-50-16,before,0.00146811,0.339744,0.247805,0.00116,0.215449779
40-50-16,before,0.00155052,0.398846,0.260894,0.001246,0.214634103
40-50-16,before,0.000197799,0.181441,0.034732,0.00006,0.213397093
40-50-16,before,0.00201645,0.322655,0.327562,0.001716,0.211609649
40-50-16,before,0.00110877,0.152144,0.189809,0.000743,0.209006535
40-50-16,before,0.0017692,0.428007,0.289924,0.001379,0.206653517
40-50-16,before,0.00184722,0.208842,0.316439,0.001412,0.192346336
40-50-16,before,0.00278676,0.275534,0.456035,0.002181,0.178343133
40-50-16,before,0.00442739,0.412126,0.72174,0.003752,0.161787601
40-50-16,before,0.00326368,0.785498,0.559817,0.002466,0.157676422
40-50-16,before,0.000787898,0.300473,0.144372,0.000312,0.154088732
40-50-16,before,0.0114207,0.93245,1.668224,0.01116,0.144767994
40-50-16,before,0.00924599,1.30936,1.478004,0.008227,0.133342782
40-50-16,before,0.00917126,0.492233,1.445093,0.007945,0.133245002
40-50-16,before,0.0107086,0.469013,1.764453,0.008512,0.114260233
40-50-16,before,0.0318884,3.84142,5.184788,0.026545,0.082999398
40-50-16,after,0.0193996,1.91733,3.0762,0.017240284,0.104913772
40-50-16,after,2.09E-05,0.0369471,0.0042,1.26E-05,0.62294275
40-50-16,after,2.97E-05,0.04961,0.0047,1.58E-05,0.648160537
40-50-16,after,7.69E-06,0.0303096,0.0014,2.52E-06,0.639758782
40-50-16,after,0.00213513,0.251884,0.3483,0.001780347,0.203954748
40-50-16,after,4.51E-05,0.0496763,0.0081,2.89E-05,0.562268695
40-50-16,after,1.43E-05,0.0274543,0.0029,7.49E-06,0.638639499
40-50-16,after,1.54E-05,0.0328944,0.0028,8.12E-06,0.697618546
40-50-16,after,5.49E-05,0.0684138,0.0112,3.82E-05,0.489441824
40-50-16,after,0.00020659,0.108611,0.0397,0.000171474,0.375974971
